Time,Step,Training loss,Validation loss,Full Validation loss
21:15:30,1710,0.2161,-,-
21:15:28,1709,0.353,-,-
21:15:26,1708,0.253,-,-
21:15:24,1707,0.1776,-,-
21:15:24,1706,0.2688,-,-
21:15:22,1705,0.2165,-,-
21:15:20,1704,0.3021,-,-
21:15:18,1703,0.2837,-,-
21:15:18,1702,0.4317,-,-
21:15:16,1701,0.4417,-,-
21:15:14,1700,0.4369,0.4178,-
21:15:12,1699,0.2547,-,-
21:15:10,1698,0.1767,-,-
21:15:08,1697,0.2845,-,-
21:15:08,1696,0.5372,-,-
21:15:06,1695,0.3513,-,-
21:15:04,1694,0.2161,-,-
21:15:02,1693,0.5444,-,-
21:15:02,1692,0.2541,-,-
21:15:00,1691,0.3289,-,-
21:14:58,1690,0.4088,-,-
21:14:56,1689,0.3133,-,-
21:14:56,1688,0.4726,-,-
21:14:54,1687,0.4869,-,-
21:14:52,1686,0.3249,-,-
21:14:50,1685,0.1715,-,-
21:14:48,1684,0.2941,-,-
21:14:48,1683,0.2187,-,-
21:14:46,1682,0.6934,-,-
21:14:44,1681,0.1615,-,-
21:14:42,1680,0.2481,-,-
21:14:42,1679,0.1909,-,-
21:14:40,1678,0.5029,-,-
21:14:38,1677,0.3006,-,-
21:14:36,1676,0.2621,-,-
21:14:36,1675,0.1555,-,-
21:14:34,1674,0.3081,-,-
21:14:32,1673,0.1758,-,-
21:14:30,1672,0.2821,-,-
21:14:30,1671,0.4997,-,-
21:14:28,1670,0.3515,-,-
21:14:26,1669,0.3235,-,-
21:14:24,1668,0.2067,-,-
21:14:22,1667,0.3652,-,-
21:14:22,1666,0.2004,-,-
21:14:20,1665,0.3423,-,-
21:14:18,1664,0.2692,-,-
21:14:16,1663,0.2124,-,-
21:14:16,1662,0.1969,-,-
21:14:14,1661,0.6185,-,-
21:14:12,1660,0.2185,-,-
21:14:10,1659,0.4815,-,-
21:14:08,1658,0.3445,-,-
21:14:08,1657,0.2246,-,-
21:14:06,1656,0.3398,-,-
21:14:04,1655,0.2397,-,-
21:14:02,1654,0.2389,-,-
21:14:02,1653,0.2249,-,-
21:14:00,1652,0.2191,-,-
21:13:58,1651,0.2546,-,-
21:13:56,1650,0.3617,-,-
21:13:56,1649,0.5251,-,-
21:13:54,1648,0.2606,-,-
21:13:52,1647,0.369,-,-
21:13:50,1646,0.29,-,-
21:13:48,1645,0.3727,-,-
21:13:48,1644,0.3317,-,-
21:13:46,1643,0.1549,-,-
21:13:44,1642,0.1669,-,-
21:13:42,1641,0.1452,-,-
21:13:42,1640,0.2669,-,-
21:13:39,1639,0.2927,-,-
21:13:37,1638,0.587,-,-
21:13:35,1637,0.1623,-,-
21:13:35,1636,0.2455,-,-
21:13:33,1635,0.2065,-,-
21:13:31,1634,0.1477,-,-
21:13:29,1633,0.6095,-,-
21:13:27,1632,0.4259,-,-
21:13:27,1631,0.2033,-,-
